t sp li co sp.sd li.sd co.sd
2247 30.3 37.9 0.0418851227106044 2.58397427946237 4.63984968810468 0.00718649750075871
2257 30.625 38.65 0.0420170868327645 3.03557961347476 5.38540287281872 0.00854416133670197
2267 30.175 38.925 0.0430195616396337 2.76319677371272 5.55802722795298 0.00558793610368402
2277 30.775 38.5 0.0413624849245542 2.97414068606595 5.21831095573742 0.00797767375321095
2287 30.35 38.45 0.042304987246133 3.10128178628591 5.44882956145112 0.00695040548184559
2297 29.95 38.175 0.0432986453285403 3.49321687024498 5.92209032742273 0.00792333975290447
2307 30.375 38.9 0.0427079500370262 3.02712099831862 5.97344551176716 0.00723634753627196
2317 30.325 39.525 0.0436967483985926 2.88575191285809 5.02296010387582 0.00767449969492632
2327 30.8 39.75 0.0426140772834646 2.91943092452569 5.52732141740301 0.00858525557439642
2337 30.275 39.475 0.0439906983241698 3.28155294694292 5.93549730057459 0.00956322354213398
2347 30.8 39.625 0.0423916810138594 3.05672860155915 5.30934106684648 0.00780618216269983
2357 30.125 39.4 0.0438037267033705 2.89285149006819 5.72802377877889 0.0066402290566208
2367 29.75 38.75 0.0444580220248447 2.90666784286027 4.98073210559375 0.00772539439538918
2377 29.725 38.425 0.0439187002197988 2.37494939217336 5.33439492639692 0.00741926698529701
2387 29.675 37.85 0.0438328951777446 2.89462366359535 4.95906318696462 0.00912723898351681
2397 29.875 38 0.0438253399733496 3.3679294407616 4.5573271518765 0.0100623907283393
2407 30.05 38.05 0.0424040806142226 2.7264140062238 5.70627185310501 0.00605529769726386
2417 29.975 38.025 0.043237296094056 3.39296028376099 5.54925497424932 0.00880100563868951
2427 29.925 38.6 0.044019406255237 3.39220448706314 5.04746699612024 0.00838364109324229
2437 29.775 39.2 0.0447702775934965 3.03388977708274 5.82743291329676 0.00787819525451543
2447 29.925 38.675 0.0441509986720623 2.84097762155105 5.74852266417319 0.0106269194733852
2457 30.625 38.85 0.0421700127271976 3.46178774031199 6.09139788596412 0.00821222493102308
2467 30.625 39.175 0.0423759623386299 3.16784728329135 6.19713540109357 0.0078711320428411
2477 30 38.9 0.0441712440184636 3.65148371670111 5.54145218401209 0.0085025965456685
2487 29.825 38.275 0.0434355409557907 2.64950406583417 5.3827240268026 0.00674635586048865
2497 30.3 38.125 0.0421187059032173 3.06510551121357 4.83145409974562 0.00673025008434044
2507 30.325 38.775 0.043280123207075 3.59763098690634 5.70868658835836 0.0099448081084428
2517 30.275 39.65 0.0443260935739288 3.82962473893013 5.39491688584062 0.00829287808598872
2527 30.15 39.175 0.044070920945006 3.27030148378889 5.44853544189064 0.00927997919716841
2537 29.15 38.875 0.0466187566516237 3.05127127772285 4.93125822608264 0.00874280869320956
2547 29.15 38.55 0.0462568281845864 3.41602558088062 4.93522139892531 0.0080136886865424
2557 30 38.525 0.0431339542526964 2.49100947511811 5.71990451776144 0.00684624008994022
2567 30.45 39.3 0.0435201625887643 3.30461992073413 4.6087987199514 0.00925429129429596
2577 30.25 39.55 0.0441236272266963 3.54277886005916 5.03806026979147 0.00779171035066334
2587 30.55 40.125 0.0438128390821433 3.59451148565599 5.60305548511085 0.0078033840969475
2597 30.275 39.675 0.0437304924233987 2.66974982021988 5.75298138983561 0.006984065189238
2607 30.4 39.5 0.0431427690862337 2.58000198767564 6 0.00741911690911339
2617 30.525 39.9 0.0431663322888988 2.89107823023406 6.43627540007736 0.00681768002913422
2627 29.925 40.125 0.0451479997365927 2.50525089587491 5.94930506607543 0.00679830024869632
2637 29.55 39.425 0.0465101253210528 3.34319055348675 5.89170429393563 0.011120386956382
2647 29.625 39.35 0.0459604762600082 3.29480943770186 4.92273636642603 0.00938880797101815
2657 29.7 38.275 0.044566231789514 3.05672860155915 5.69294435109069 0.0106196928692862
2667 29.85 38.875 0.0441906838519984 2.76933760477678 5.49212723254492 0.00748956597870754
2677 30.225 38.725 0.0428167312431224 2.81468220185439 6.02978717147905 0.00709871492074947
2687 29.925 38.75 0.0438019846360774 3.16541810743412 5.68285771376266 0.00675453766376782
2697 30 39.125 0.0438341768143321 2.92644879745103 6.15270422097221 0.00670397356972126
