t U L S OS WN contrib U.sd L.sd S.sd OS.sd WN.sd contrib.sd
902 0.375281550334834 0.407432715601556 0.240435919075522 0.868557888247233 0.937299860525158 0.0756551129715116 0.0683002062078261 0.0918218392894108 0.0567793920798088 0.0912000420347369 0.051493619877046 0.0538908778735535
912 0.369232256895804 0.401367618965913 0.243408005744604 0.870687684925813 0.939657453106021 0.0754349267715352 0.0900200904016202 0.0679776481573322 0.0535398555385676 0.0881954230407181 0.0452084691938219 0.0557994178688139
922 0.380721479005929 0.383367824234755 0.245790974744028 0.876809778408082 0.942552504491551 0.0724303748207263 0.0939063960742297 0.0809866073701276 0.0643358115030299 0.0974153352382941 0.050509801880078 0.0616200540187742
932 0.383796791197085 0.402778819699664 0.244935356717399 0.869438578588253 0.937910984809274 0.0754747276349369 0.0698305170633588 0.0671085465788508 0.0590298119419534 0.0969556290777802 0.0480430778621821 0.0623653192068523
942 0.369110886039144 0.393841760468143 0.229244918980887 0.879256249177845 0.943221402822314 0.0693122975751515 0.0827315390777697 0.078419470800709 0.0507750453177168 0.0748703429059364 0.0377697532381013 0.0463044628839672
952 0.373107939678192 0.40296676337118 0.248857781121068 0.877483881592283 0.943412876876477 0.070645209045545 0.0765616755471362 0.0827683462616231 0.057267802094297 0.0569085194452309 0.027941430370277 0.0383505380356221
962 0.374706546685113 0.388768245623531 0.251225248021231 0.876257551118291 0.941232113246538 0.0705168096055038 0.0873808029493206 0.0733654783951866 0.0502658203948881 0.0747764719193499 0.0368428965507345 0.0468393660604501
972 0.384756909602567 0.40170387124294 0.252547025570964 0.883131898764177 0.944635118866287 0.0666911679258656 0.0728509094029095 0.071571213807301 0.0576037517040553 0.0748794538841809 0.0373477781116947 0.0452680176886143
982 0.379598063791391 0.408852440284856 0.258484906573232 0.87212134124272 0.941002806514339 0.0746078589082638 0.0862636698390144 0.0874829405596699 0.059497899472131 0.0729853840086001 0.0367742427396864 0.0471292455789283
992 0.3695687959066 0.398532728590989 0.246953546069809 0.859786074119606 0.933149443256754 0.0803580299307264 0.0913023225821101 0.0833925107750202 0.0583798250973509 0.0812705770688876 0.0400612099649405 0.0533263432095798
1002 0.399609350877301 0.405385438765206 0.264444844042547 0.882369978795566 0.944800766201676 0.0688901641988628 0.0672849450260292 0.0763996998655009 0.0589770454405769 0.0977301815633412 0.0480681686024366 0.0619040810255519
1012 0.391160035045177 0.423028015842364 0.249076417810291 0.842720392828428 0.93104966401131 0.0971145831033744 0.0798657304690805 0.0820102779860081 0.061207149764787 0.0969375176033344 0.0378157077607046 0.0754808786316882
1022 0.373600388088427 0.413415724602785 0.255978766354014 0.872533621794341 0.940328570211969 0.0735939021295432 0.0724701648638666 0.0788233584368354 0.0618038265207064 0.0775226212556155 0.0401000765761706 0.0487114423817791
1032 0.363227499016582 0.403647229870617 0.248083141653978 0.86606728276445 0.936222989487763 0.0771638092007109 0.114491432697686 0.0823981725034842 0.0737243073479547 0.0933993559361812 0.0430723148915975 0.0643638197502004
1042 0.368654857757262 0.402084308787076 0.253094953477854 0.883923557202839 0.942569727996825 0.0636613591441717 0.0928175962262264 0.0784415515555091 0.0598895208264309 0.0748519013294588 0.0424689502243796 0.0417098249877797
1052 0.370624288502821 0.396757475227547 0.237633341712198 0.885731633025035 0.943675565029156 0.0631551801426716 0.0695745124550365 0.0676293559490601 0.0465655424573143 0.0795825910312132 0.0412312789280879 0.0468810365912872
1062 0.352770793103126 0.396538971458082 0.234605012000667 0.86893815136926 0.93558494132211 0.0729123409205671 0.0844860282670754 0.0684019482117883 0.0614906214023 0.0766376248826789 0.0396005602247021 0.0469387302097283
1072 0.389911784827909 0.391129771649137 0.240673919878857 0.867674229887902 0.937080004766969 0.0761445281323434 0.0932107180548117 0.0746549589100325 0.0653165491476301 0.0873804334079095 0.0426215555775631 0.0571212763103253
1082 0.38118711256898 0.404141730235313 0.254944429658832 0.882471603848079 0.94291423407028 0.0656631009047388 0.0827655870411447 0.0847603395683959 0.0565998912740229 0.0753452606489544 0.0380676519967116 0.045695611950115
1092 0.366363478572732 0.400348630165581 0.240853550375154 0.861393304033379 0.935108273531339 0.0802723027924718 0.0699445861081203 0.0716378453961576 0.0495705484966293 0.0731086000655516 0.0351914160267664 0.0475289063927152
1102 0.377932272640456 0.41051595714963 0.257118104401359 0.880631711237947 0.945473661747896 0.0697589453338716 0.0889274908329445 0.0815990379321938 0.0657517972534237 0.0678583303296795 0.0317483096879498 0.0451042726371521
1112 0.38269258449955 0.372227343202396 0.250051803862323 0.881038389771918 0.941123990379621 0.0647763782657407 0.0701884767123634 0.0797790692553104 0.0552992088513329 0.0589972104599574 0.0333993999940876 0.0322316445282303
1122 0.380425758175429 0.403873572712292 0.235395589752025 0.862672394092768 0.935020998320916 0.0784459412490926 0.0793527587163166 0.0880475340868965 0.0638612778188944 0.0657128661886906 0.0333765177692571 0.0426627805978887
1132 0.374394067186607 0.404311042284636 0.244741932673324 0.873366133650405 0.938207611028806 0.0705623325965709 0.0783931307190394 0.0769684405064943 0.0676038194346275 0.07431329953772 0.0395710773077919 0.044726612244403
1142 0.357865669237754 0.411527475771257 0.238808709345903 0.858616064809278 0.935965808222246 0.084893455321851 0.0845885093927222 0.0901217868586236 0.0664732281008333 0.0939909677516463 0.0424824936978389 0.0659049289186989
1152 0.376489343135751 0.402664859938812 0.253163571572067 0.899648603987037 0.953159170320058 0.0575890220002378 0.0797966646980837 0.0729575126577759 0.0588430449991288 0.0739933412028679 0.0343821812496111 0.0467659059181636
1162 0.380457531222924 0.425778882262496 0.256928267757548 0.874818615018173 0.944291914837759 0.0768153321595715 0.0906448909593865 0.077610022214869 0.0664406823497427 0.110510397419708 0.0459993795392143 0.0814509915610994
1172 0.363590247737431 0.405372659482096 0.253606719496015 0.892572616166653 0.949790307051125 0.0614281570406329 0.092724543451842 0.0890862046941889 0.0657881311028816 0.0670315352461604 0.0315461620214173 0.042850619625211
1182 0.365563815290135 0.360874770672199 0.236358397037911 0.877464301772914 0.938187089346407 0.0667308983892543 0.095703884534459 0.0675221182500425 0.0703464330364327 0.0846552560696357 0.0441192973804056 0.0548732705078486
1192 0.399586819330331 0.399078047633027 0.252109199892277 0.870496622483574 0.938575155667731 0.0741241052114882 0.0991913531134989 0.0844905210347205 0.0669456400155922 0.0790988285063283 0.0394643578882926 0.0527981797016404
1202 0.380366941733374 0.400662867195362 0.245204810574511 0.875424958206074 0.942251828455267 0.0731054985285628 0.0937377240288333 0.0841831196848008 0.0627202399870378 0.0913909026430579 0.0425884725329358 0.0600612096645692
1212 0.375751181924023 0.393840590525779 0.234585064838263 0.86420820173541 0.935305475414544 0.0779752520548822 0.102721516476927 0.0784179831964534 0.0615187641133201 0.0858055515710386 0.0398748480350076 0.0575811747586749
1222 0.361423484528204 0.410041298727973 0.231263579056052 0.856834086311147 0.933337262605972 0.0837567006736779 0.0874894794367754 0.0875361991117937 0.0516539653967353 0.0787310940384666 0.0385519094591627 0.0494669070796259
1232 0.359636656014851 0.394908794283568 0.248518032486936 0.870675687218875 0.935978212267901 0.0711608048037596 0.0871397891064135 0.100545351988827 0.0753301326018624 0.0736717508122332 0.036838945743738 0.0478324255680119
1242 0.35227488318999 0.385276704017324 0.248135877640472 0.886990974230759 0.94463888523736 0.0623757943895243 0.0779292714770713 0.0700010723286701 0.0603594724115461 0.0706194596653436 0.0343703959227349 0.0464404339413904
